"lam1";"lam2";"mu1";"mu2";"q12";"q21"
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
0,2;0,4;0,05;0,05;0,1;0,1
